Questions,Name,Response,Notes
How would your best friend describe you?,,sdfigbdsfgsdo,
Why did you choose to rush Alpha Kappa Psi?,,sdfigbdsfgsdosdfigbdsfgsdo,
What was your most memorable experience with a brother?,,sdfigbdsfgsdo,
"Tell us about a time you experienced failure, and how you reacted to it.",,sdfigbdsfgsdo,
Interest ,,sdfigbdsfgsdo,
Which core value ,,sdfigbdsfgsdo,
Interest ,,sdfigbdsfgsdo,
How do you plan to contribute to AKPsi?,,sdfigbdsfgsdo,
Greatest weakness? ,,sdfigbdsfgsdo,
What was your most memorable experience with a brother?,,sdfigbdsfgsdo,
WHAT IS UR FAV BOOK OR MOVIE?,,sdfigbdsfgsdo,
How do you define success and how do you measure up to that definition?,,sdfigbdsfgsdo,
What was your most memorable experience with a brother?,,sdfigbdsfgsdosdfigbdsfgsdo,
Talk about a time when you lead your group to success,,sdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdo,
"if you could tell me one thing to take away from this interview, what would it be?",,sdfigbdsfgsdo,
