Questions,Name,Response,Notes
Tell me about yourself,,sdfigbdsfgsdo,
How do you plan to contribute to AKPsi?,,sdfigbdsfgsdosdfigbdsfgsdo,
How do you plan to contribute to AKPsi?,,sdfigbdsfgsdo,
"Tell us about a time you experienced failure, and how you reacted to it.",,sdfigbdsfgsdo,
How do you plan to contribute to AKPsi?,,sdfigbdsfgsdo,
Which core value ,,sdfigbdsfgsdo,
Tell me about this thing on your resume ,,sdfigbdsfgsdo,
How do you plan to contribute to AKPsi?,,sdfigbdsfgsdo,
Greatest weakness? ,,sdfigbdsfgsdo,
Interest ,,sdfigbdsfgsdo,
WHAT IS UR FAV BOOK OR MOVIE?,,sdfigbdsfgsdo,
Tell me about this thing on your resume ,,sdfigbdsfgsdo,
What was your most memorable experience with a brother?,,sdfigbdsfgsdosdfigbdsfgsdo,
Talk about a time when you lead your group to success,,sdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdosdfigbdsfgsdo,
Tell me about this thing on your resume ,,sdfigbdsfgsdo,
